Time,Visby/Wx,Clouds,SLP,Temp,Dew,RH,Wind(KTS),ASI,APP
1,10,CLR,139,66,43,43,13005,30.06,----
2,10,CLR,138,64,43,46,14006,30.06,6002
3,10,CLR,136,63,43,47,15008,30.06,----
4,10,CLR,133,65,41,41,16007,30.05,----
5,10,CLR,136,64,42,44,15006,30.05,5002
6,10,CLR,139,63,42,46,14008,30.06,----
7,10,CLR,140,64,43,46,16007,30.06,----
8,10,CLR,143,69,42,37,16008,30.07,3005
9,10,CLR,141,76,45,32,16006,30.07,----
10,10,CLR,134,87,40,18,13014G23,30.06,
11,10,CLR,127,90,44,20,12012,30.04,8010
12,10,CLR,121,92,47,20,11011G17,30.02,
13,10,CLR,109,93,46,19,11008,29.99,----
14,10,CLR,98,96,40,14,16006,29.96,8026
15,10,CLR,91,96,40,14,19007G18,29.94,
16,10,FEW110,87,95,44,17,13005,29.93,----
17,10,BKN110,84,94,44,17,29008,29.91,6014
18,10,FEW110,87,91,43,18,31007,29.92,----
19,10,BKN110,90,88,42,19,31004,29.92,----
20,10,BKN110,94,85,43,22,0,29.94,3007
21,10,CLR,98,80,43,26,19005,29.95,----
22,10,CLR,94,77,45,31,17006,29.95,----
23,10,CLR,94,76,45,32,16006,29.95,1005
24,10,FEW110,94,74,46,36,22003,29.95,----
